9000073385;Poland ; Eastern Europe ; East;241.5;;;;;;0.7
9000132049;United Kingdom ; Great Britain ; North;57.5;;;;;;0.7
9000114515;Poland ; Eastern Europe ; East;241.5;;;;;;0.7
9000096299;Austria ; Central Europe ; East;57.5;;;;;;0.7
9000035414;Hungary ; Eastern Europe ; East;241.5;;;;;;0.7
9000140721;France ; France International ; West;57.5;;;;;;0.7
9000022792;Belgium ; BeLux ; North;345.0;;;;;;0.7
9000085720;Germany ; Central Europe ; East;161.0;;;;;;0.7
9000095108;France ; France International ; West;345.0;;;;;;0.7
9000062548;Germany ; Central Europe ; East;161.0;;;;;;0.7
9000005968;Spain ;  Iberica ; South;172.5;;;;;;0.7
9000104535;France ; France International ; West;517.5;;;;;;0.7
9000141256;Romania ; Eastern Europe ; East;241.5;;;;;;0.7
9000163412;France ; France International ; West;57.5;;;;;;0.7
9000091594;Germany ; Central Europe ; East;161.0;;;;;;0.7
9000149202;France ; France International ; West;517.5;;;;;;0.7
9000136905;Spain ;  Iberica ; South;57.5;;;;;;0.7
9000059113;Netherlands ; Netherlands ; North;322.0;;;;;;0.7
9000192203;France ; France International ; West;517.5;;;;;;0.7
9000136710;Poland ; Eastern Europe ; East;241.5;;;;;;0.7
9000117241;Italy ; South East Europe ; South;345.0;;;;;;0.7
9000031186;Spain ;  Iberica ; South;172.5;;;;;;0.7
9000134594;Italy ; South East Europe ; South;345.0;;;;;;0.7
9000086817;Macedonia ; Eastern Europe ; East;57.5;;;;;;0.7
9000217562;Romania ; Eastern Europe ; East;57.5;;;;;;0.7
9000175724;Hungary ; Eastern Europe ; East;241.5;;;;;;
9000082674;Spain ;  Iberica ; South;172.5;;;;;;
9000165054;Italy ; South East Europe ; South;345.0;;;;;;
9000098909;Germany ; Central Europe ; East;161.0;;;;;;
9000210053;Italy ; South East Europe ; South;57.5;;;;;;
9000018715;Macedonia ; Eastern Europe ; East;57.5;;;;;;
9000127541;Portugal ;  Iberica ; South;172.5;;;;;;
9000043811;Spain ;  Iberica ; South;57.5;;;;;;
9000112740;Macedonia ; Eastern Europe ; East;57.5;;;;;;
9000100933;Belgium ; BeLux ; North;115.0;;;;;;
9000210863;Romania ; Eastern Europe ; East;241.5;;;;;;
9000007392;France ; France International ; West;517.5;;;;;;
9000073015;Portugal ;  Iberica ; South;57.5;;;;;;
9000114024;Italy ; South East Europe ; South;57.5;;;;;;
9000209680;France ; France International ; West;517.5;;;;;;
9000205438;France ; France International ; West;517.5;;;;;;
9000125197;France ; France International ; West;517.5;;;;;;
9000140574;Austria ; Central Europe ; East;161.0;;;;;;
9000042046;Greece ; South East Europe ; South;57.5;;;;;;
9000120587;Netherlands ; Netherlands ; North;57.5;;;;;;
9000136192;Ireland ; Great Britain ; North;57.5;;;;;;
9000110025;France ; France International ; West;57.5;;;;;;
9000090640;Portugal ;  Iberica ; South;172.5;;;;;;
9000008466;France ; France International ; West;345.0;;;;;;
9000216862;Spain ;  Iberica ; South;172.5;;;;;;
9000018218;United Kingdom ; Great Britain ; North;57.5;;;;;;
9000199267;Belgium ; BeLux ; North;115.0;;;;;;
9000038093;Italy ; South East Europe ; South;57.5;;;;;;
9000181564;Italy ; South East Europe ; South;161.0;;;;;;
9000046694;Poland ; Eastern Europe ; East;241.5;;;;;;
9000090237;France ; France International ; West;345.0;;;;;;
9000034682;Poland ; Eastern Europe ; East;57.5;;;;;;
9000009060;Croatia ; Eastern Europe ; East;241.5;;;;;;
9000056556;United Kingdom ; Great Britain ; North;57.5;;;;;;
9000194884;Germany ; Central Europe ; East;161.0;;;;;;
9000003669;France ; France International ; West;345.0;;;;;;
9000131403;Poland ; Eastern Europe ; East;241.5;;;;;;
9000103769;France ; France International ; West;345.0;;;;;;
9000026518;Netherlands ; Netherlands ; North;322.0;;;;;;
9000078289;Poland ; Eastern Europe ; East;57.5;;;;;;
9000182977;Germany ; Central Europe ; East;161.0;;;;;;
9000170036;Austria ; Central Europe ; East;161.0;;;;;;
9000085326;Belgium ; BeLux ; North;115.0;;;;;;
9000210142;France ; France International ; West;517.5;;;;;;
9000169527;Germany ; Central Europe ; East;161.0;;;;;;
9000111163;United Kingdom ; Great Britain ; North;57.5;;;;;;
9000076922;France ; France International ; West;517.5;;;;;;
9000068639;Romania ; Eastern Europe ; East;57.5;;;;;;
9000110830;Austria ; Central Europe ; East;161.0;;;;;;
9000099245;France ; France International ; West;345.0;;;;;;
9000167206;United Kingdom ; Great Britain ; North;57.5;;;;;;
9000164116;Italy ; South East Europe ; South;57.5;;;;;;
9000004434;United Kingdom ; Great Britain ; North;345.0;;;;;;
9000045592;Spain ;  Iberica ; South;57.5;;;;;;
9000188749;Germany ; Central Europe ; East;57.5;;;;;;
9000039421;Poland ; Eastern Europe ; East;241.5;;;;;;
9000142756;Germany ; Central Europe ; East;161.0;;;;;;
9000141189;Portugal ;  Iberica ; South;172.5;;;;;;
9000078867;France ; France International ; West;57.5;;;;;;
9000134619;Germany ; Central Europe ; East;161.0;;;;;;
9000042459;Germany ; Central Europe ; East;57.5;;;;;;
9000075408;France ; France International ; West;57.5;;;;;;
9000183453;Spain ;  Iberica ; South;57.5;;;;;;
9000203127;Spain ;  Iberica ; South;172.5;;;;;;
9000109902;Germany ; Central Europe ; East;161.0;;;;;;
9000001715;Latvia ; Eastern Europe ; East;241.5;;;;;;
9000101054;Netherlands ; Netherlands ; North;57.5;;;;;;
9000036085;United Kingdom ; Great Britain ; North;345.0;;;;;;
9000181679;France ; France International ; West;517.5;;;;;;
9000133405;Belgium ; BeLux ; North;115.0;;;;;;
9000213129;Netherlands ; Netherlands ; North;57.5;;;;;;
9000113676;United Kingdom ; Great Britain ; North;57.5;;;;;;
9000067508;Germany ; Central Europe ; East;161.0;;;;;;
9000003338;Germany ; Central Europe ; East;161.0;;;;;;
9000169087;France ; France International ; West;345.0;;;;;;
9000156100;Sweden ; Nordics ; North;161.0;;;;;;
9000156554;Germany ; Central Europe ; East;57.5;;;;;;
9000057652;France ; France International ; West;345.0;;;;;;
9000179431;Belgium ; BeLux ; North;115.0;;;;;;
9000149200;Belgium ; BeLux ; North;115.0;;;;;;
9000013450;Romania ; Eastern Europe ; East;241.5;;;;;;
9000144073;Belgium ; BeLux ; North;57.5;;;;;;
9000124454;Romania ; Eastern Europe ; East;57.5;;;;;;
9000057052;France ; France International ; West;345.0;;;;;;
9000156968;France ; France International ; West;57.5;;;;;;
9000111186;France ; France International ; West;517.5;;;;;;
9000161899;Belgium ; BeLux ; North;57.5;;;;;;
9000191997;Germany ; Central Europe ; East;161.0;;;;;;
9000078471;Netherlands ; Netherlands ; North;322.0;;;;;;
9000010688;France ; France International ; West;345.0;;;;;;
9000035019;France ; France International ; West;345.0;;;;;;
9000054380;Netherlands ; Netherlands ; North;161.0;;;;;;
9000110239;Germany ; Central Europe ; East;161.0;;;;;;
9000124322;Belgium ; BeLux ; North;57.5;;;;;;
9000167020;Belgium ; BeLux ; North;115.0;;;;;;
9000164380;France ; France International ; West;517.5;;;;;;
9000170788;Spain ;  Iberica ; South;172.5;;;;;;
9000114132;Germany ; Central Europe ; East;57.5;;;;;;
9000208193;Germany ; Central Europe ; East;161.0;;;;;;
9000197411;Italy ; South East Europe ; South;57.5;;;;;;
9000118888;Portugal ;  Iberica ; South;172.5;;;;;;
9000030185;Lithuania ; Eastern Europe ; East;57.5;;;;;;
9000051675;Netherlands ; Netherlands ; North;57.5;;;;;;
9000152970;Bulgaria ; Eastern Europe ; East;57.5;;;;;;
9000138346;Romania ; Eastern Europe ; East;241.5;;;;;;
9000001710;Germany ; Central Europe ; East;161.0;;;;;;
9000014636;Poland ; Eastern Europe ; East;241.5;;;;;;
9000202257;Netherlands ; Netherlands ; North;161.0;;;;;;
